strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	title	date_submitted
Australia/VIC05/2020	ncov	?	MT450922	2020-03-05	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT450922	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC05/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC1000/2020	ncov	?	MT451684	2020-03-31	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29806	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451684	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC1000/2020, complete genome	2020-05-11
Australia/VIC1008/2020	ncov	?	MT451690	2020-03-31	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29806	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451690	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC1008/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC1018/2020	ncov	?	MT451699	2020-04-01	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29813	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451699	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC1018/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC102/2020	ncov	?	MT451012	2020-03-16	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451012	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC102/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC1038/2020	ncov	?	MT451709	2020-04-03	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29809	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451709	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC1038/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC1045/2020	ncov	?	MT451715	2020-04-03	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29804	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451715	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC1045/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC1048/2020	ncov	?	MT451718	2020-04-03	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29812	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451718	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC1048/2020, complete genome	2020-05-11
Australia/VIC1062/2020	ncov	?	MT451726	2020-04-04	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29816	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451726	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC1062/2020, complete genome	2020-05-11
Australia/VIC1120/2020	ncov	?	MT451756	2020-04-08	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29837	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451756	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC1120/2020 ORF1ab polyprotein (ORF1ab) gene, complete cds; ORF1a polyprotein (ORF1ab) gene, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
Australia/VIC1135/2020	ncov	?	MT451762	2020-04-08	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29815	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451762	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC1135/2020, complete genome	2020-05-11
Australia/VIC1139/2020	ncov	?	MT451766	2020-04-08	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29815	Homo sapiens	?	?	?	?	Seemann et al	https://www.ncbi.nlm.nih.gov/nuccore/MT451766	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC1139/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-05-11
